Id,Seri,Model,Ilan Basligi,Yil,KM,Renk,Ilan Tarihi,Il / Ilce,Fiyat
945,Fiesta,1.6 Titanium,2015 BOYASIZ 69 BiN Km'dE 1.6 T?TANIUM-X OTOMAT?K V?TES LPG'L?,2015,69,Beyaz,"21 Ocak
                        2020",MersinMezitli,97.850 TL
946,Micra,1.2 Match,GALER? 87'DEN BOYASIZ OTOMAT?K V?TES N?SSAN M?CRA,2017,26,K?rm?z?,"22 Ocak
                        2020",Rize�ayeli,89.500 TL
947,Jazz,1.4 LS,ECR?N OTOMOT?V DEN 2005 MODEL HONDA JAZZ 1.4 OTOMAT?K BENZ?N,2005,107,K?rm?z?,"21 Ocak
                        2020",AdanaSeyhan,38.900 TL
948,3,1.6 D Touring,SAH?B?NDEN KAYITSIZ HATASIZ SORUNSUZ 150 B?NDE MAZDA 3,2010,154,F�me,"08 Ocak
                        2020",TrabzonYomra,50.000 TL
949,A3,A3 Sportback 1.6 TDI,TA?PINAR/2012 A3 D?ZEL OTOMAT?K TERTEM?Z,2012,150,Beyaz,"21 Ocak
                        2020",?stanbulBah�elievler,104.500 TL
950,Egea,1.3 Multijet Easy,LeasePlan 'den 2017 Egea 1.3 MultiJet Easy,2017,41.672,Beyaz,"22 Ocak
                        2020",?stanbulKad?k�y,85.000 TL
951,C Serisi,C 180 Fascination,�zel sipari? i�i AMGdir,2015,65,Beyaz,"21 Ocak
                        2020",AdanaCeyhan,238.000 TL
952,Albea,Sole 1.3 Multijet Active,2010 ALBEA SOLE 1.3 M.JET ACT?VE PAKET TEM?Z FULL...,2010,250,Beyaz,"22 Ocak
                        2020",?stanbulEsenyurt,35.750 TL
953,A3,A3 Sportback 1.6 TDI,AUD? A3 SPORTBACK 1.6 TDI SPORT L?NE 5K HATASIZ,2016,78.919,Beyaz,"21 Ocak
                        2020",Ankara�ankaya,195.900 TL
954,323,1.5 Practica,FUUL BAKIMLI SPOR MAZDA OTOMAT?K..,1998,320,Beyaz,"24 Aral?k
                        2019",AnkaraMamak,21.500 TL
955,S Serisi,S 400 Sport,HANCAR 2016 S 400 4MAT?C AMG-BURMASTER-SO?UT�MA-DES?GNO-360-BAY?,2016,85.172,Beyaz,"08 Ocak
                        2020",?stanbulEy�psultan,1.495.000 TL
956,Rio,1.4 CRDi Fancy,De?i?ensiz Hasar Kay?ts?z G�zbebe?im,2014,130,Beyaz,"20 Ocak
                        2020",?stanbulEsenyurt,71.750 TL
957,Civic,1.6i VTEC Eco Executive,Sahibinden HATASIZ BOYASIZ FIRSAT ARACI ...!,2017,58,F�me,"20 Ocak
                        2020",?stanbulG�ng�ren,157.500 TL
958,3 Serisi,320i ED Sport Line,2014 SAH?B?NDEN 3.20 ?ED ?MOLA 105oooKm,2014,105,K?rm?z?,"20 Ocak
                        2020",AntalyaKepez,190.000 TL
959,Linea,1.3 Multijet Active Plus,"KALE TAKSI "" 2014 FIAT LINEA A�TI VE PLUS 1.3 M.JET""",2014,495,Sar?,"22 Ocak
                        2020",?stanbulBa?c?lar,27.500 TL
960,Cerato,1.6 CRDi Concept Plus,2016YETK?L? SERV?S BAKIMLI K?A CERATO.2 YIL GARANT?L?..% 18,2016,59,G�m�? Gri,"17 Ocak
                        2020",?stanbulPendik,122.850 TL
961,B Serisi,B 180 CDI BlueEfficiency  Urban,LeasePlan 'den 2016 Mercedes B 180 CDI BlueEFFICIENCY Urban 7G-D,2016,23.989,Beyaz,"06 Ocak
                        2020",?zmirGaziemir,183.000 TL
962,Pulsar,1.2 N-Tec,SAH?B?NDEN 11000 KM DE PULSAR NTEC,2016,11.2,Beyaz,"20 Ocak
                        2020",?stanbulG�ng�ren,104.000 TL
963,Marea,1.6 Liberty,temiz marea,2004,600,Gri,"21 Ocak
                        2020",AntalyaKepez,18.500 TL
964,Focus,1.6 TDCi Style,ARA� �OK TEM?Z KAZASIZ,2016,195,Beyaz,"22 Ocak
                        2020",?stanbulEy�psultan,92.500 TL
965,Civic,1.6i VTEC Elegance,Yeti?ene veriyorum gel al git,2009,199.4,F�me,"21 Ocak
                        2020",MersinMezitli,55.000 TL
966,C-Elys�e,1.6 HDi  Exclusive,2015 HATASIZ D�?�K KM ELYSEE,2015,68.5,Beyaz,"21 Ocak
                        2020",Kahramanmara?Oniki?ubat,69.500 TL
967,Mondeo,1.5 Ecoboost Titanium,Hatas?z boyas?z titanyum paket,2015,115,K?rm?z?,"22 Ocak
                        2020",AnkaraAlt?nda?,135.000 TL
968,C Serisi,C 180 AMG 7G-Tronic,2014 MODEL MERCEDES BENZ C 180 7-G TRON?C AMG HATASIZ-BOYASIZ,2014,74,Beyaz,"21 Ocak
                        2020",BursaOsmangazi,237.000 TL
969,Accent,1.3 Admire,2005 HYUNDA? accent klimal? 2par�a boyal? hasar kay?ts?z,2005,240,Beyaz,"21 Ocak
                        2020",OsmaniyeMerkez,34.750 TL
970,Mondeo,2.0 Trend,ACARDAN FORD MONDEO,2005,250,Gri,"21 Ocak
                        2020",BurdurBucak,45.000 TL
971,Albea,Sole 1.3 Multijet Active,2011 MODEL F?AT ALBEA 1.3 MULT?JET SOLE,2011,220,F�me,"21 Ocak
                        2020",AdanaSeyhan,24.950 TL
972,C4,1.6 HDi SX,AC?L SATILIK DE???ENS?Z C4,2006,240,G�m�? Gri,"21 Ocak
                        2020",K�tahyaTav?anl?,34.750 TL
973,A6,A6 Sedan 2.0 TDI,2011 MODEL 2.0 TDI A6 MULT?TRON?C 4 KOLTUK ISITMA-SUNROOF-LED,2011,294,Siyah,"22 Ocak
                        2020",AnkaraKe�i�ren,117.000 TL
974,5 Serisi,530i Executive M,AKT MOTORS BMW 5.30? EXECUTIVE M SPORT BORUSAN �IKI?LI /// M5,2017,38.5,Siyah,"13 Ocak
                        2020",?stanbulBah�elievler,599.000 TL
975,Xsara,1.4 HDI,SAH?B?NDEN 2004 C?TROEN XSARA 1.4 HDI,2004,274,Beyaz,"21 Ocak
                        2020",AnkaraAlt?nda?,23.000 TL
976,Tempra,1.6 S,1994 MODEL EMSALS?Z TEM?ZL?KTE 150'000 KM LPG'L? 1.6 TEMPRA S,1994,150,Beyaz,"21 Ocak
                        2020",Mu?laMilas,16.750 TL
977,Civic,1.6i VTEC Eco Elegance,MEMURDAN 2018 SIFIR AYARINDA (17.000 km) HATASIZ HONDA C?V?C,2018,17,Beyaz,"21 Ocak
                        2020",BursaOsmangazi,170.000 TL
978,323,1.6 1.6i,G�KMEN OTOMOT?VDEN KL?MALI 1991 MAZDA 323 LP?L?,1991,295,K?rm?z?,"13 Ocak
                        2020",HatayK?r?khan,19.500 TL
979,A5,A5 Sportback 2.0 TDI,DO?U? �IKI?LI/ SUNROOF/TABA/ISIT�MA/ELEKTR?K/F1/3 KOL D?REKS?YON,2012,130,Siyah,"22 Ocak
                        2020",?stanbulArnavutk�y,199.750 TL
980,Accent,1.5 CRDi Admire,Acil Sat?l?k,2004,171,Sar?,"22 Ocak
                        2020",?stanbulSilivri,26.500 TL
981,6,2.0 Dynamic,- �MER BEYE OPS?YONLUDUR -,2010,170,K?rm?z?,"10 Ocak
                        2020",Ankara�ankaya,65.750 TL
982,C4,1.6 HDi SX PK,2008 MODEL DIZEL MANUEL-CITROEN-C4 1.6 HDI SX,2008,240,G�m�? Gri,"20 Ocak
                        2020",?stanbulBa?c?lar,40.000 TL
983,3 Serisi,318i M Joy,(2016)model hatas?z a?le arabas? masrafs?z butun bak?mlar? tam,2016,70,G�m�? Gri,"22 Ocak
                        2020",?stanbul�sk�dar,217.450 TL
984,Focus,1.6 TDCi Trend,79.000 km de orjinal p?r?l p?r?l i? i�in satiyorum,2013,79,G�m�? Gri,"21 Ocak
                        2020",HatayK?r?khan,66.000 TL
985,RX,RX-8,TR DE TEK *** Air Rx s?f?r motor***acill,2007,129,K?rm?z?,"25 Aral?k
                        2019",KocaeliDerince,72.500 TL
986,Focus,1.6 TDCi Style,Baran AUTODAN HATASIZ style focus,2012,260,Beyaz,"22 Ocak
                        2020",Gaziantep?ehitkamil,66.500 TL
987,Fiesta,1.1 Trend,"?LK SAH?B?NDEN, ORJ?NAL",2017,33,Beyaz,"21 Ocak
                        2020",KonyaSeydi?ehir,81.000 TL
988,Astra,1.6 Elegance,EMEKL? ASTSUBAYDAN OTOMAT?K 2001 OPEL ASTRA ELEGANCE LPG L?,2001,274,K?rm?z?,"21 Ocak
                        2020",?zmir�i?li,41.900 TL
989,Egea,1.4 Fire Easy,sifir egea 1.4 easy posetleri uzerinde..,2019,0,Beyaz,"18 Ocak
                        2020",KastamonuMerkez,87.500 TL
990,3 Serisi,320d M Sport,EWO MOTORS'DAN �ZEL S?PAR?? M TECHN?C,2008,232,Beyaz,"16 Ocak
                        2020",?stanbul�mraniye,127.000 TL
991,Rio,1.4 CRDi Concept,2017 tamponlar?na kdar htas?z Full Paket Garantili Sunrooflu Rio,2017,109,Beyaz,"17 Ocak
                        2020",?stanbulKartal,81.000 TL
992,C5,1.6 e-HDi  Confort,"LEVENT OTODAN 2012 C?TROEN C5 1,6 E-HD? FULL OTOMAT?K",2012,120,Beyaz,"19 Ocak
                        2020",ManisaTurgutlu,95.000 TL
993,Astra,1.3 CDTI Sport,HASARSIZ OPEL ASTRA SPORT (ilk sahibinden),2012,121.5,Siyah,"02 Ocak
                        2020",Ankara�ankaya,89.999 TL
994,C1,1.0 SX Sensodrive,OTOMAT?K V?TES C1 BAKIMLI MASRAFSIZ KUSURSUZ TEM?ZL?KTE,2007,180,Siyah,"22 Ocak
                        2020",?stanbulBeykoz,50.000 TL
995,Linea,1.3 Multijet Active Plus,2013 MODEL TEM?Z A?LE ARACI,2013,151.5,Beyaz,"21 Ocak
                        2020",?stanbulPendik,45.000 TL
996,Getz,1.4 DOHC 1.4 AB AC,"2006 HYUNDAI GETZ 1.4 BENZ?NL?. TRAMERS?Z, BOYASIZ, DE???ENS?Z..",2006,109,Mavi,"20 Ocak
                        2020",?stanbulB�y�k�ekmece,46.750 TL
997,Primera,2.0 SE,Temiz otomatik,1998,303,Ye?il,"12 Ocak
                        2020",AnkaraSincan,25.500 TL
998,2,1.5 Fun,2009 MAZDA 2 1.5 FUN TAM OTOMAT?K 151.000Km F?RSAT ARAC?...!,2009,151,Sar?,"15 Ocak
                        2020",?stanbulAta?ehir,48.500 TL
999,Tipo,1.6 S,PEKER OTOMOT?V DEN CAM G?B? TIPO,1997,147,Beyaz,"21 Ocak
                        2020",AntalyaKepez,16.500 TL
1000,3 Serisi,316i M Sport,K�RDEVE OTOMOT?V- E?S?Z TEM?ZL?KTE M PAKET-I?IK PAKET TERTEM?Z,2013,122,Siyah,"18 Ocak
                        2020",?stanbulMaltepe,142.750 TL
1001,Laurel Altima,2,N?SAN ALT?MA OTOMAT?K V?TES 1.6 MOTOR EN FULL,1991,312,Siyah,"15 Ocak
                        2020",MersinToroslar,20.850 TL
1002,Cerato,1.6 CRDi Concept Plus,BALABAN K?A DAN 2017 K?A CERATO CONCEPT PLUS 1.6CRD? 136PS OTM,2017,51.77,Siyah,"18 Ocak
                        2020",AntalyaKepez,135.000 TL
1003,Focus,1.6 Ti-VCT Trend X,Acil ! Pazarl?ks?z! Sahibinden Ford Focus 1.6 Lpg,2016,45.378,Beyaz,"21 Ocak
                        2020",AnkaraEtimesgut,82.250 TL
1004,Rio,1.4 CVVT Cool,?lk Sahibinden Hatas?z Otomatik Kia R?o Otomatik Garantili,2018,29.171,Mavi,"18 Ocak
                        2020",BursaY?ld?r?m,103.000 TL
1005,323,1.5 1.5i,Temiz kullan?lm?? Mazda 323 1.5 motor y�r�yeni sorunsuz...,1998,325,K?rm?z?,"30 Aral?k
                        2019",AnkaraKe�i�ren,23.000 TL
1006,Civic,1.6 VTEC ES,HONDA CIVIC+ES+BEYAZ+S�UNROOF+MAKYAJLI,2004,220,Beyaz,"20 Ocak
                        2020",OsmaniyeMerkez,65.250 TL
1007,C Serisi,C 180 AMG 7G-Tronic,Boyas?z 2011 model amg c180,2011,170,Beyaz,"22 Ocak
                        2020",?stanbulSancaktepe,132.000 TL
1008,Venga,1.4 CRDi TX,TAM B?R A?LE ARABASI,2011,163,Beyaz,"16 Ocak
                        2020",Tekirda?S�leymanpa?a,52.000 TL
1009,1 Serisi,116d ED EfficientDynamics,HATASIZ BOYASIZ FIRSAT ARACI,2013,69,Beyaz,"21 Ocak
                        2020",AnkaraMamak,142.750 TL
1010,C-Max,1.6 TDCi Ghia,Sahibinden acil ihtiya�tan satl?k Hasar kay?ts?z masrafs?z,2006,260,Gri,"22 Ocak
                        2020",MersinAkdeniz,43.000 TL
1011,C-Elys�e,1.6 HDi  Attraction,FM AUTODAN HATASIZ 2016 MODEL C?TROEN CELLYSE,2016,105,Beyaz,"20 Ocak
                        2020",Tekirda?�orlu,65.000 TL
1012,3,1.6 D Touring,?LK SAH?B?NDEN,2013,92,Beyaz,"20 Ocak
                        2020",KonyaSel�uklu,85.000 TL
1013,Sierra,2.0 CLX,Temiz bakimli sahibinden TEMIZ!,1994,88.5,Bordo,"21 Ocak
                        2020",?stanbulZeytinburnu,16.750 TL
1014,Rio,1.5 CRDi EX Comfort,KIA RIO 1.5 CRDI HATASIZ DE???ENS?Z 2008 MODEL,2008,270,Beyaz,"20 Ocak
                        2020",?stanbulSancaktepe,36.500 TL
1015,Civic,1.4 1.4i,SAH?B?NDEN KL?MALI HONDA C?V?C 98 HB,1998,245,Beyaz,"22 Ocak
                        2020",AnkaraPursaklar,26.900 TL
1016,Grand C-Max,1.6 TDCI  Titanium,�OK TEM?Z 2013 MODEL 7 KOLTUKLU D?ZEL A?LE ARABASI,2013,133,G�m�? Gri,"21 Ocak
                        2020",KayseriTalas,101.000 TL
1017,Almera,1.5 Tekna,2006 Almera,2006,205,G�m�? Gri,"16 Ocak
                        2020",SakaryaAdapazar?,38.800 TL
1018,Albea,1.2 Active,2006 MODEL LP? L?,2006,191,Beyaz,"06 Ocak
                        2020",Ni?deBor,28.950 TL
1019,Elantra,1.6 MPI Style,HEMEN TESL?M SIFIR 2019 HYUNDA? ELENTRA 1.6MPI STYLE,2019,0,Beyaz,"21 Ocak
                        2020",AnkaraAkyurt,123.800 TL
1020,Astra,1.4 T Sport,SAH?B?NDEN BAKIMLI OTOMAT?K 6 V?TES ASTRA,2014,113,Beyaz,"21 Ocak
                        2020",G�m�?haneK�se,99.500 TL
1021,Insignia,1.6 CDTI  Cosmo,Tertemiz INSIGNIA,2016,96,Siyah,"22 Ocak
                        2020",?zmirKar??yaka,150.000 TL
1022,323,1.6 GLX,BEYAZ ATIM 1997 MODEL 135B?NDE,1997,135,Beyaz,"15 Ocak
                        2020",SivasMerkez,23.900 TL
1023,i20,1.4 MPI Style,ADIYAMAN F?MOTO F?AT BAY?S?NDEN 2018 MODEL OTOMOT?K V?TES ?20,2018,56,Beyaz,"21 Ocak
                        2020",Ad?yamanMerkez,108.500 TL
1024,i20,1.4 CRDi Jump,*AUTO KENAN*2017 MODEL HYUNDA? ?20 1.4 CRDI JUMP D?ZEL,2017,47,Beyaz,"22 Ocak
                        2020",?stanbulBa?c?lar,86.500 TL
1025,C-Elys�e,1.6 HDi  Confort,AGIR HASAR KAYDI VARDIRCitroen-�dizel-89000de,2015,89,Beyaz,"21 Ocak
                        2020",EdirneMerkez,49.500 TL
1026,Corsa,1.3 CDTI  Essentia,SAH?B?NDEN 2013 MODEL 1.3 OPEL CORSA,2013,186.5,Beyaz,"21 Ocak
                        2020",Kahramanmara?Pazarc?k,46.000 TL
1027,Albea,1.3 Multijet Dynamic,SAH?B?NDEN ORJ?NAL,2006,177.5,Bej,"21 Ocak
                        2020",Kocaeli�ay?rova,36.250 TL
1028,A6,A6 Sedan 2.0 TDI Quattro,2017 AUD? A6+2.0 TD?+Quattro�+BAY?+�ZEL S?PAR??+TAM DOLU+EMSALS?Z,2017,67,Beyaz,"16 Ocak
                        2020",AdanaSeyhan,420.000 TL
1029,6,2.0 TE,Sahibinden temiz otomatik mazda,2004,290,G�m�? Gri,"07 Ocak
                        2020",Karab�kMerkez,45.000 TL
1030,3 Serisi,320d Techno Plus,FIRSAT ARACI,2014,170.5,Beyaz,"21 Ocak
                        2020",Kahramanmara?Dulkadiro?lu,177.900 TL
1031,Vectra,2.0 CD,MASRAFSIZ OTOMAT?K V?TES 1998 MODEL OPEL VECTRA CD,1998,330,Beyaz,"21 Ocak
                        2020",Gaziantep?ehitkamil,22.500 TL
1032,A4,A4 Sedan 2.0 TDI,2012 �IKI?LI 2011 MOD. 164.000 Km 143BG A4 2.0 TDI OTOM.8 ?LER?,2011,164,Beyaz,"20 Ocak
                        2020",AnkaraKe�i�ren,133.750 TL
1033,Tempra,1.6 ie SLX SW,S?n?f?nn en temizi,1997,18.7,G�m�? Gri,"22 Ocak
                        2020",?zmirBayrakl?,17.000 TL
1034,C4,1.6 HDi SX,YAKIT C?MR?S?,2007,216,Mavi,"20 Ocak
                        2020",?stanbul�mraniye,41.900 TL
1035,Astra,1.6 CDTI Enjoy,HRN AUTO 2016 ASTRA HB 1.6 D?ZEL OTOMAT?K D�?�K KM,2016,96,Beyaz,"21 Ocak
                        2020",?stanbulSilivri,135.000 TL
1036,C Serisi,C 200 d BlueTEC AMG,92 BIN KM DE SIFIR AYARINDA,2015,92,Beyaz,"22 Ocak
                        2020",U?akMerkez,258.500 TL
1037,i30,1.6 GDi Elite,Temiz Hyundai i30,2013,20.162,Gri,"22 Ocak
                        2020",Yalova�?narc?k,102.000 TL
1038,Micra,1.2 Passion,SIFIR EMSAL?..BOYAS?Z -HATASIZ-HASAR KAYITSIZ TERTEMZ-?LK SAH?BND,2012,72,K?rm?z?,"18 Ocak
                        2020",MersinAnamur,63.990 TL
1039,Linea,1.3 Multijet Active Plus,TURTA? OTOMOT?V'DEN DE???ENS?Z TRAMERS?Z ORJ?NAL KM'DE D?ZEL,2012,120,Beyaz,"21 Ocak
                        2020",AntalyaKepez,53.500 TL
1040,Corsa,1.3 CDTI  Enjoy,2013 MODEL 1.3 D?ZEL DE???ENS?Z HATASIZ BOYASIZ HASAR KAYITSIZ,2013,158,F�me,"17 Aral?k
                        2019",BatmanMerkez,61.500 TL
1041,C-Elys�e,1.6 HDi  Exclusive,�?S?L DEN 2014 C-ELYSEE 1.6 HD? EXCLUS?VE,2014,169,Beyaz,"21 Ocak
                        2020",ZonguldakKilimli,59.500 TL
1042,Micra,1.2 Match,"BOYASIZ,DEG??ENS?Z OTOMAT?K V?TES FUL MED?A PAKET M?CRA 15B?N KM",2015,15,Bej,"12 Ocak
                        2020",KayseriTalas,88.500 TL
1043,Civic,1.6 VTEC LS,ara� sahibinden d�?�k kilometre temiz,2004,160,Bej,"22 Ocak
                        2020",AdanaSeyhan,56.500 TL
1044,Linea,1.3 Multijet Emotion Plus,OCAK AYI BANDROL� HED?YEM?Z.,2011,210,G�m�? Gri,"21 Ocak
                        2020",?stanbulBa?c?lar,42.900 TL
1045,Z Serisi,Z4 2.0i sDrive,"HATASIZ BOYASIZ 65,000 KM DE BMW Z4 M SPORT",2014,65,Beyaz,"21 Ocak
                        2020",?zmirBornova,255.000 TL
1046,C Serisi,C 200 AMG,Osmano?lu Otomotiv Mercedes C200 Amg 4x4 S?f?r Ara� %18 Kdv li,2018,0,Beyaz,"21 Ocak
                        2020",?stanbulBeylikd�z�,396.500 TL
1047,Ceed,1.6 CRDi Concept,B O Y A S I Z ( bu fiattan ucuzu yokkkkkkk ),2012,154,Beyaz,"16 Ocak
                        2020",K?r?kkaleMerkez,82.500 TL
1048,CLA,180 d Style,BD MOTORS DAN CLA 180 Otomatik,2015,82,Beyaz,"21 Ocak
                        2020",?stanbulBeykoz,195.000 TL
1049,C4,1.6 HDi Easy,AR?F OTO CENTER' DAN HATASIZ-BOYAS�IZ-TRAMERS?Z C?TROEN C4,2016,66,Beyaz,"21 Ocak
                        2020",AnkaraYenimahalle,91.750 TL
1050,Ceed,1.6 CRDi Comfort,KELLY HU KADAR G�ZEL VE ?EH?RL? VIN DIESEL KADAR HIZLI VE �FKEL?,2015,108,Beyaz,"18 Ocak
                        2020",BursaNil�fer,92.900 TL
1051,C Serisi,C 200 Komp. Elegance,SAH?B?NDEN BAKIMLI C200 KOMPR�S�R...�OTOMAT?K....,2001,297,G�m�? Gri,"21 Ocak
                        2020",AnkaraEtimesgut,60.000 TL
1052,E Serisi,E 300 CGI AMG,Ara� s?f?r ayar?nda,2018,15,Beyaz,"20 Ocak
                        2020",?stanbulKad?k�y,765.000 TL
1053,Linea,1.3 Multijet Pop,2017 95 BG ABS ASR ESP 94 BIN KM MASRAFSIZ,2017,94,Beyaz,"21 Ocak
                        2020",AnkaraEtimesgut,66.000 TL
1054,Pro Ceed,1.6 CRDi Premium,AYDINO?ULLARINDAN 2013K?A PRO CEED 1.6CRD? %30 PE??N 36 AY SENET,2013,179,Beyaz,"16 Ocak
                        2020",?stanbulMaltepe,89.850 TL
1055,E Serisi,E 180 Exclusive,2017 MERCEDES E 180 EXCLUS?VE COMMAND CAM TAVAN HATASIZ BOYASIZ,2017,44,Beyaz,"11 Ocak
                        2020",?stanbulBa?c?lar,425.000 TL
1056,i20,1.4 MPI Jump,2017 ?20-1.4 JUMP TAM OTOMAT?K HATASIZ 36 B?N KM LPG L?,2017,36,Beyaz,"22 Ocak
                        2020",Ankara�ankaya,94.500 TL
1057,Almera,1.5 Comfort,SAVRAN OTOMOT?V DEN ORJINAL NISSAN,2001,285,Mavi,"14 Ocak
                        2020",DenizliMerkezefendi,34.750 TL
1058,C3,1.2 VTi Cool,Aykan ?stanbul'dan CITROEN C3 1.2 VTI COOL ETG,2014,87.745,Beyaz,"21 Ocak
                        2020",?stanbulMaltepe,81.500 TL
1059,Accent Era,1.4 Team,2010 MODEL 1.4 TEAM TEM?Z VE BAKIMLI ////*****,2010,163,Beyaz,"18 Ocak
                        2020",OsmaniyeMerkez,50.000 TL
1060,Rio,1.4 CRDi Natty,SAHIBINDEN SORUNSUZ,2012,201,G�m�? Gri,"20 Ocak
                        2020",AnkaraYenimahalle,45.500 TL
1061,A3,A3 Sedan 1.6 TDI,Tek fiyat pazarl?k i�in aramay?n . Gelen al?r,2016,127,Beyaz,"21 Ocak
                        2020",?stanbulEy�psultan,144.000 TL
1062,Focus,1.6 Titanium X,�ZDA?- -2009 MODEL FOCUS 1.6 T?TAN?UM X OTOMAT?K DE???ENSZ 219KM,2009,219,Mavi,"22 Ocak
                        2020",AnkaraAkyurt,64.250 TL
1063,A4,A4 Sedan 2.0 TDI,A4 HATASIZ SIFIRDAN ?LK SAH?B?NDEN,2008,290,Siyah,"22 Ocak
                        2020",AntalyaKumluca,112.500 TL
1064,3,1.6 D Comfort,Mazda 3 1.6 Dizel 2005 �ok temiz,2005,278,Gri,"27 Aral?k
                        2019",Bal?kesirBigadi�,45.000 TL
1065,Cerato,1.6 CRDi Concept Techno,KEF?LS?Z KO?ULSUZ HEMEN TESL?M 48 AY TAKS?T % 2.50 VADE ORANI,2017,46,Siyah,"21 Ocak
                        2020",?stanbulBa?c?lar,125.000 TL
1066,Corsa,1.2 Twinport Essentia,DEGISENSIZ HASAR KAYDI YOKTUR,2009,78,Gri,"18 Ocak
                        2020",?stanbulEsenyurt,62.500 TL
1067,Civic,1.6 VTEC ES,HATASIZ-BOYASIZ-MA�NUEL-160.000-DOLU DOLU,2004,160,Bej,"21 Ocak
                        2020",AntalyaSerik,76.950 TL
1068,Civic,1.6i VTEC Eco Elegance,2016 HATASIZ BOYASIZ 1.6? VTEC ECO ELAGANCE LPG SUNROOF OTOMAT?K,2016,66,Beyaz,"21 Ocak
                        2020",KonyaEre?li,132.000 TL
1069,Ceed,1.6 CRDi Concept Plus,HATASIZ CAM TAVANLI SUNROOF LU K?A CEED,2015,145,Siyah,"22 Ocak
                        2020",KonyaSel�uklu,103.750 TL
1070,6,2,2006 MODEL ORJ?NAL MAZDA 6 DOST MALI...,2006,250,F�me,"19 Ocak
                        2020",?anl?urfaKarak�pr�,53.000 TL
1071,Primera,1.6 Tekna,3 y?ld?r kulland???m arabam? sat?yorum,2003,260,Siyah,"20 Ocak
                        2020",AnkaraMamak,39.750 TL
1072,3,1.6 D Touring,NAZLI AUTO GAYR?MENKUL..D?ZEL MAZDA 3 ..SERV?S BAKIMLI..,2012,151,Beyaz,"24 Aral?k
                        2019",?stanbulBa?c?lar,73.500 TL
1073,A6,A6 Sedan 2.0 TDI,OSCAR35 DEN 2013 AUD? A6 S L?NE,2013,185,Beyaz,"20 Ocak
                        2020",?zmirBuca,249.000 TL
1074,M Serisi,M3 Coupe,SAH?B?NDEN 2009 E92 M3 DKG BAY?? HATASIZ EKSTRALI,2009,106,Siyah,"16 Ocak
                        2020",?stanbulAta?ehir,515.000 TL
1075,i20,1.4 CRDi Sense,"Hatas?z,boyas?z ...(Opsiyonlu)",2014,71.965,K?rm?z?,"20 Ocak
                        2020",Ankara�ankaya,75.750 TL
1076,C Serisi,C 200 d BlueTEC Fascination,TOKAY MOTORSDAN C 200 D?ZEL,2015,134,Beyaz,"21 Ocak
                        2020",?zmirBuca,220.000 TL
1077,5 Serisi,520d Premium,2008 MODEL 180.000 DE 5.20D?ZEL PREM?UM,2008,180,Siyah,"21 Ocak
                        2020",BursaOsmangazi,88.800 TL
1078,5 Serisi,520d Comfort,BMW 5.20d COMFORT ?�? BEJ HATASIZ-BOYAS�IZ-TRAMERS?Z 100000KM,2012,100,Beyaz,"01 Ocak
                        2020",KonyaKaratay,228.750 TL
1079,323,1.6 GLX,D?LEK OTO'DAN 94 MODEL SIFIR MOTOR OTOMAT?K V?TES MAZDA 323,1994,111.111,Ye?il,"09 Ocak
                        2020",KonyaKaratay,18.750 TL
1080,Linea,1.3 Multijet Active,212binde Aile arac?,2008,212,Gri,"21 Ocak
                        2020",?zmir�i?li,34.250 TL
1081,3 Serisi,320i,Km 125bin 2 de?i?en,2013,125,Beyaz,"20 Ocak
                        2020",?zmirSel�uk,155.000 TL
1082,i20,1.2 MPI Style,HYUNDAI ?20 1.2 MPI STYLE 2015 MODEL 40.000 KM HATASIZ,2015,40,Gri,"21 Ocak
                        2020",�anakkaleBiga,86.500 TL
1083,Sephia,1.6 SLX,YEN? MUAYNEL? LPG L? FIRSAT ARACI AMER?KAN VERSYON,1994,220,Beyaz,"20 Ocak
                        2020",?stanbul�sk�dar,9.250 TL
1084,Rio,1.5 Comfort,Acil Sat?l?k,2003,159,Gri,"19 Ocak
                        2020",?stanbulPendik,29.500 TL
1085,323,1.6 1.6i,emekli �gretmen den 2.sahibi,2002,157,Beyaz,"21 Ocak
                        2020",?zmirNarl?dere,45.550 TL
1086,i20,1.4 MPI Style,5S OTOMOT?V'DEN 2018 HYUNDA? ?20 STYLE 1.4MP? PANORAMA OTOMAT?K,2018,10.78,Beyaz,"20 Ocak
                        2020",AnkaraAkyurt,113.750 TL
1087,Civic,1.6 i ES,Hatas?z Honda ies,1998,210,Beyaz,"21 Ocak
                        2020",?zmirAlia?a,41.750 TL
1088,323,1.6 1.6i,SAH?B?NDEN TEM?Z ORIJINAL 200000 DE,1991,200,Gri,"01 Ocak
                        2020",?stanbulBeyo?lu,13.250 TL
1089,C-Elys�e,1.6 HDi  Feel,F?YAT D�?T� AC?L,2017,39.5,Lacivert,"18 Ocak
                        2020",?stanbulBah�elievler,89.500 TL
1090,C-Elys�e,1.6 HDi  Exclusive,SAH?B?NDEN 2013 C?TREON C-ELYSEE 44 B?NDE,2013,44,G�m�? Gri,"22 Ocak
                        2020",?stanbul�mraniye,71.500 TL
1091,Cerato,1.6 CRDi Concept Plus,KULE AUTO'DAN 2016 HATASIZ K?A CERATO 1.6 CRD? CONSEPTPLUS DCT,2016,110,F�me,"20 Ocak
                        2020",KilisMerkez,118.500 TL
